name,value,year,lastValue,rank
Nintendo Wii U,2192991,2012.2,2185208,8
Xbox One,NA,2012.2,NA,9
Nintendo Switch,NA,2012.2,NA,10
PlayStation 4,NA,2012.2,NA,11
Nintendo 3DS,13511171,2012.3,13493805,1
PlayStation 3,11989850,2012.3,11981533,2
Xbox 360,10711732,2012.3,10704570,3
Nintendo Wii,5102691,2012.3,5087475,4
Playstation Portable,4264958,2012.3,4250897,5
PlayStation Vita,3705990,2012.3,3703492,6
Nintendo DS,3025050,2012.3,3013439,7
Nintendo Wii U,2198699,2012.3,2192991,8
Xbox One,NA,2012.3,NA,9
Nintendo Switch,NA,2012.3,NA,10
PlayStation 4,NA,2012.3,NA,11
Nintendo 3DS,13521346,2012.4,13511171,1
PlayStation 3,12007157,2012.4,11989850,2
Xbox 360,10725863,2012.4,10711732,3
Nintendo Wii,5119374,2012.4,5102691,4
Playstation Portable,4277650,2012.4,4264958,5
PlayStation Vita,3713908,2012.4,3705990,6
Nintendo DS,3042948,2012.4,3025050,7
Nintendo Wii U,2204406,2012.4,2198699,8
Xbox One,NA,2012.4,NA,9
Nintendo Switch,NA,2012.4,NA,10
PlayStation 4,NA,2012.4,NA,11
Nintendo 3DS,13533912,2012.5,13521346,1
PlayStation 3,12022516,2012.5,12007157,2
Xbox 360,10743682,2012.5,10725863,3
Nintendo Wii,5130682,2012.5,5119374,4
Playstation Portable,4290216,2012.5,4277650,5
PlayStation Vita,3732578,2012.5,3713908,6
Nintendo DS,3059555,2012.5,3042948,7
Nintendo Wii U,2220869,2012.5,2204406,8
Xbox One,NA,2012.5,NA,9
Nintendo Switch,NA,2012.5,NA,10
PlayStation 4,NA,2012.5,NA,11
Nintendo 3DS,13545231,2012.6,13533912,1
PlayStation 3,12024668,2012.6,12022516,2
Xbox 360,10763517,2012.6,10743682,3
Nintendo Wii,5136460,2012.6,5130682,4
Playstation Portable,4292280,2012.6,4290216,5
PlayStation Vita,3741985,2012.6,3732578,6
Nintendo DS,3071738,2012.6,3059555,7
Nintendo Wii U,2233167,2012.6,2220869,8
